index,house_type_id,is_renewal_needed,is_new_development,sq_mt_built,n_rooms,n_bathrooms,is_exterior,has_lift,has_parking,has_storage_room,has_terrace,has_balcony,has_pool,latitude,longitude,floor_1,floor_2,floor_3,floor_4,floor_5,floor_6,floor_7,floor_8,floor_9,floor_Bajo,floor_Entreplanta exterior,floor_Entreplanta interior,floor_Semi-sótano exterior,floor_Semi-sótano interior,floor_Sótano exterior,floor_Sótano interior,buy_price
4084,0,0,0,77.0,3,1.0,1,0,0,0,1,0,0,40.380284,-3.6691818,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96000
4085,0,0,0,91.0,3,1.0,1,1,0,0,1,0,0,40.380284,-3.6691818,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,159000
4086,1,0,0,128.0,4,2.0,1,1,0,0,1,0,0,40.380284,-3.6691818,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,169000
4087,0,1,0,65.0,3,1.0,1,0,0,0,0,0,0,40.38943870000001,-3.6677411263176674,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120000
4088,0,0,0,70.0,3,1.0,1,1,0,0,1,0,0,40.380284,-3.6691818,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,125000
4089,0,1,0,38.0,1,1.0,1,0,0,0,0,0,0,40.3914367,-3.6481261,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,59000
4090,0,0,0,54.0,3,1.0,1,1,0,0,0,0,0,40.38943870000001,-3.6677411263176674,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105000
4091,0,0,0,89.0,2,3.0,1,0,0,0,0,0,0,40.380284,-3.6691818,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,99000
4092,0,1,0,67.0,2,1.0,1,0,0,1,1,1,0,40.38943870000001,-3.6677411263176674,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85000
4093,0,0,0,71.0,2,1.0,1,1,1,0,0,0,0,40.3914367,-3.6481261,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210000
4094,0,0,0,99.0,3,2.0,1,1,0,0,1,0,0,40.3914367,-3.6481261,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,175000
4095,2,0,0,70.0,2,2.0,1,0,0,0,1,1,0,40.38943870000001,-3.6677411263176674,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149000
4096,0,0,0,70.0,2,1.0,1,1,0,0,1,0,0,40.3871008,-3.634472804869207,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116000
4097,2,0,0,85.0,2,1.0,1,1,1,0,0,0,0,40.398746100000004,-3.6581186076151115,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,320000
4098,0,0,0,106.0,3,1.0,1,1,0,0,1,0,0,40.398746100000004,-3.6581186076151115,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,130000
4099,0,0,0,125.0,4,2.0,1,1,0,0,1,0,0,40.3871008,-3.634472804869207,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134600
4100,0,0,0,60.0,2,1.0,1,0,0,0,1,0,0,40.38943870000001,-3.6677411263176674,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,109000
4101,0,0,0,118.0,1,1.0,1,0,1,0,0,0,0,40.380284,-3.6691818,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,250000
4102,0,1,0,55.0,2,1.0,0,0,0,0,0,0,0,40.38943870000001,-3.6677411263176674,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,79000
4103,1,1,0,155.0,3,2.0,1,0,0,0,0,0,0,40.3914367,-3.6481261,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,220000
4104,0,1,0,35.0,1,1.0,1,0,0,0,0,0,0,40.380284,-3.6691818,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,60000
4105,0,1,0,62.0,3,1.0,1,0,0,0,0,0,0,40.38943870000001,-3.6677411263176674,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100000
4106,0,0,0,63.0,3,1.0,1,0,0,0,0,0,0,40.398746100000004,-3.6581186076151115,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,101700
4107,0,1,0,56.0,3,1.0,0,1,0,0,0,0,0,40.3871008,-3.634472804869207,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,117500
4108,0,1,0,40.0,2,1.0,0,0,0,0,0,0,0,40.3914367,-3.6481261,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,70000
4109,0,0,0,59.0,1,1.0,1,0,0,1,1,0,0,40.38943870000001,-3.6677411263176674,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,129000
4110,0,0,0,130.0,4,2.0,1,1,0,0,1,0,0,40.3871008,-3.634472804869207,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,299000
4111,0,0,0,43.0,1,1.0,1,0,0,0,0,0,0,40.38943870000001,-3.6677411263176674,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,95000
4112,0,0,0,94.0,3,2.0,1,1,0,0,1,0,0,40.3914367,-3.6481261,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,179000
4113,0,0,0,94.0,3,2.0,1,1,0,0,1,0,0,40.3871008,-3.634472804869207,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,179900
