,is_renewal_needed,is_new_development,m2,n_rooms,n_bathrooms,floor,is_exterior,has_lift,has_parking,has_storage_room,has_terrace,has_balcony,has_pool,latitude,longitude,buy_price
5086,0,0,58.0,2,1.0,1.0,1,0,0,0,0,0,0,40.4048009,-3.7452693,105000
5087,0,0,67.0,2,1.0,2.0,1,0,0,0,0,0,0,40.3856442,-3.760740564866897,149000
5088,1,0,70.0,2,1.0,0.0,1,0,0,0,1,0,0,40.3856442,-3.760740564866897,120000
5089,0,0,68.0,3,1.0,2.0,1,0,0,0,0,0,0,40.3814589,-3.7803772000000007,130000
5090,0,0,74.0,2,2.0,5.0,1,1,0,0,0,0,0,40.4048009,-3.7452693,165000
5096,0,0,105.0,3,2.0,6.0,1,1,0,0,1,1,0,40.4137225,-3.7271715,450000
5097,0,0,75.0,3,1.0,5.0,1,1,1,0,0,0,1,40.4137225,-3.7271715,380000
5100,0,0,80.0,3,1.0,0.0,1,1,0,1,0,0,0,40.3856442,-3.760740564866897,225000
5101,0,0,58.0,2,1.0,0.0,1,0,0,0,0,0,0,40.3856442,-3.760740564866897,112000
5104,0,0,110.0,3,2.0,2.0,1,1,0,0,0,0,0,40.406944,-3.726389,299000
5106,0,0,56.0,2,1.0,3.0,1,0,0,0,1,0,0,40.3814589,-3.7803772000000007,128000
5109,0,0,73.0,3,1.0,4.0,1,1,1,0,0,0,0,40.3814589,-3.7803772000000007,180000
5110,0,0,55.0,1,1.0,1.0,0,0,0,0,0,0,0,40.4137225,-3.7271715,175000
5111,0,0,63.0,2,1.0,3.0,1,1,1,0,0,0,0,40.4137225,-3.7271715,220000
5112,0,0,87.0,3,2.0,1.0,1,1,0,0,0,0,0,40.3856442,-3.760740564866897,198000
5113,1,0,60.0,3,1.0,3.0,1,0,0,0,0,1,0,40.4048009,-3.7452693,120000
5114,1,0,110.0,3,1.0,2.0,1,1,1,1,0,0,0,40.3856442,-3.760740564866897,255000
5115,0,0,79.0,2,1.0,3.0,1,1,0,0,0,0,0,40.3814589,-3.7803772000000007,179000
5116,0,0,60.0,2,1.0,1.0,1,0,0,1,1,0,0,40.3856442,-3.760740564866897,160000
5121,0,0,80.0,3,1.0,1.0,1,1,0,0,1,0,0,40.4048009,-3.7452693,155000
5122,1,0,78.0,3,1.0,0.0,1,1,1,1,1,0,0,40.3814589,-3.7803772000000007,165000
5127,0,0,50.0,2,1.0,3.0,1,0,0,0,0,0,0,40.3814589,-3.7803772000000007,130000
5128,0,0,54.0,2,1.0,2.0,1,0,0,0,0,1,0,40.4048009,-3.7452693,129000
5129,0,0,63.0,2,1.0,3.0,1,0,0,0,1,0,0,40.3814589,-3.7803772000000007,130000
5131,1,0,56.0,2,1.0,2.0,1,0,0,0,1,0,0,40.4048009,-3.7452693,110000
5135,0,0,80.0,3,1.0,0.0,1,0,0,1,0,0,0,40.4048009,-3.7452693,159000
5139,0,0,72.0,1,1.0,0.0,1,0,0,0,0,0,0,40.4137225,-3.7271715,145000
5141,0,0,41.0,0,1.0,0.0,1,1,0,0,1,0,0,40.4137225,-3.7271715,165000
5148,0,0,57.0,1,1.0,0.5,1,1,0,1,1,0,0,40.406944,-3.726389,169000
5149,0,0,70.0,2,1.0,2.0,1,1,0,0,0,1,0,40.4137225,-3.7271715,235000
5151,0,0,44.0,1,1.0,2.0,1,0,0,0,1,0,0,40.4137225,-3.7271715,145000
5152,0,0,65.0,2,1.0,4.0,1,0,0,0,1,0,0,40.3856442,-3.760740564866897,135000
5154,0,0,90.0,3,1.0,-1.0,1,0,0,0,0,0,0,40.406944,-3.726389,180000
5156,0,0,70.0,3,1.0,3.0,1,0,1,0,0,0,0,40.3814589,-3.7803772000000007,160000
5158,0,0,86.0,3,1.0,1.0,1,0,1,0,1,0,0,40.4137225,-3.7271715,210000
5159,1,0,60.0,3,1.0,3.0,1,0,1,0,0,0,0,40.4048009,-3.7452693,140000
5160,1,0,70.0,3,2.0,2.0,1,0,0,0,1,0,0,40.3856442,-3.760740564866897,145000
5165,0,0,75.0,3,1.0,4.0,1,0,0,0,1,1,0,40.4137225,-3.7271715,169000
5166,0,0,50.0,2,1.0,0.0,1,0,0,0,0,0,0,40.3814589,-3.7803772000000007,129000
5170,0,0,60.0,3,1.0,4.0,1,0,0,1,0,0,0,40.3946832,-3.7682788,180000
5177,0,0,60.0,3,1.0,1.0,1,0,0,1,0,0,0,40.4048009,-3.7452693,180000
5184,0,0,68.0,3,1.0,0.0,1,1,0,0,1,0,0,40.4137225,-3.7271715,160000
5186,0,0,104.0,3,2.0,1.0,1,1,0,0,0,1,0,40.4137225,-3.7271715,350000
5189,1,0,70.0,2,1.0,1.0,1,0,0,0,0,0,0,40.4137225,-3.7271715,115000
5191,0,0,67.0,3,1.0,1.0,1,0,1,0,0,0,0,40.3814589,-3.7803772000000007,135000
5192,0,0,65.0,3,1.0,1.0,1,0,0,0,0,0,0,40.4137225,-3.7271715,170000
5197,0,0,75.0,3,1.0,2.0,1,0,0,1,0,1,0,40.4137225,-3.7271715,265000
5198,1,0,78.0,2,1.0,2.0,1,0,0,0,1,0,0,40.4137225,-3.7271715,155000
5200,0,0,78.0,2,1.0,5.0,1,0,0,0,1,0,0,40.3856442,-3.760740564866897,160000
5201,0,0,52.0,1,1.0,2.0,1,1,1,1,1,0,0,40.3946832,-3.7682788,210000
5203,0,0,56.0,2,1.0,3.0,0,1,0,0,0,0,0,40.3856442,-3.760740564866897,115000
5209,0,0,80.0,3,1.0,1.0,1,1,0,0,0,0,0,40.3856442,-3.760740564866897,235000
5210,0,0,68.0,3,1.0,1.0,1,1,0,0,1,1,0,40.3814589,-3.7803772000000007,230000
5212,1,0,65.0,3,1.0,5.0,1,0,0,0,1,1,0,40.3814589,-3.7803772000000007,110000
5215,0,0,72.0,3,1.0,1.0,1,1,0,0,1,0,0,40.3814589,-3.7803772000000007,169000
5217,0,0,70.0,2,1.0,1.0,1,0,0,0,1,0,0,40.4048009,-3.7452693,205000
5218,0,0,90.0,3,1.0,3.0,1,1,0,0,1,1,0,40.4137225,-3.7271715,290000
5220,0,0,64.0,3,1.0,4.0,1,0,0,0,0,0,0,40.3814589,-3.7803772000000007,145000
5221,0,0,80.0,2,2.0,0.0,1,1,1,1,0,0,0,40.3856442,-3.760740564866897,195000
5222,0,0,70.0,2,1.0,0.0,1,0,0,0,0,0,0,40.4137225,-3.7271715,189000
5223,0,0,58.0,2,1.0,2.0,1,0,0,0,1,1,0,40.4048009,-3.7452693,129000
5227,0,0,90.0,3,2.0,0.0,1,1,0,1,0,0,0,40.406944,-3.726389,240000
5229,0,0,84.0,2,1.0,3.0,1,0,0,1,1,1,0,40.4048009,-3.7452693,239000
5230,0,0,75.0,3,1.0,1.0,1,1,0,0,0,0,0,40.3814589,-3.7803772000000007,160000
5231,1,0,75.0,2,1.0,1.0,1,1,0,0,0,0,0,40.4137225,-3.7271715,175000
5240,0,0,67.0,3,1.0,2.0,1,0,1,0,0,0,0,40.3814589,-3.7803772000000007,145000
5242,1,0,70.0,2,1.0,0.0,1,0,0,0,0,0,0,40.4137225,-3.7271715,109000
5246,0,0,62.0,3,1.0,5.0,1,0,0,0,0,0,0,40.3814589,-3.7803772000000007,149000
5247,0,0,60.0,3,1.0,0.0,1,0,0,0,0,0,0,40.4137225,-3.7271715,149000
5248,0,0,63.0,2,1.0,1.0,1,1,0,1,0,0,0,40.406944,-3.726389,145000
5252,0,0,83.0,3,1.0,2.0,1,1,0,0,0,0,0,40.3856442,-3.760740564866897,219000
5254,0,0,76.0,2,1.0,3.0,1,1,0,0,1,1,0,40.4137225,-3.7271715,240000
5256,0,0,60.0,2,1.0,0.0,1,0,0,0,0,0,0,40.3946832,-3.7682788,160000
5262,0,0,60.0,2,1.0,3.0,1,0,0,1,0,0,0,40.4137225,-3.7271715,198000
5264,0,0,71.0,3,1.0,0.0,1,0,0,0,0,0,0,40.4137225,-3.7271715,120000
5265,1,0,80.0,3,1.0,4.0,1,0,0,0,1,0,0,40.3946832,-3.7682788,139000
5267,0,0,42.0,2,1.0,1.0,1,0,0,0,0,0,0,40.4137225,-3.7271715,165000
5268,1,0,65.0,3,1.0,4.0,1,0,0,0,0,0,0,40.3946832,-3.7682788,130000
5269,1,0,70.0,3,1.0,3.0,1,1,0,0,1,0,0,40.4048009,-3.7452693,150000
5271,1,0,71.0,3,1.0,0.0,1,1,0,0,0,0,0,40.4137225,-3.7271715,120000
5275,0,0,66.0,2,1.0,2.0,1,1,0,0,0,0,0,40.3856442,-3.760740564866897,130000
5277,0,0,80.0,3,1.0,3.0,1,0,0,0,1,0,0,40.3814589,-3.7803772000000007,155000
5279,0,0,94.0,3,2.0,2.0,1,1,0,0,1,0,0,40.3814589,-3.7803772000000007,260000
5280,0,0,63.0,2,1.0,1.0,1,0,0,0,0,0,0,40.4137225,-3.7271715,125000
5281,0,0,60.0,2,1.0,3.0,1,0,0,0,1,0,0,40.3814589,-3.7803772000000007,140000
5283,0,0,80.0,3,1.0,2.0,1,1,0,0,1,0,0,40.3814589,-3.7803772000000007,189000
5285,0,0,55.0,1,1.0,1.0,1,1,0,1,0,0,0,40.4137225,-3.7271715,180000
5286,0,0,50.0,3,1.0,4.0,1,0,0,0,1,0,0,40.4137225,-3.7271715,100000
5292,1,0,100.0,3,2.0,0.0,1,0,0,0,0,0,0,40.4137225,-3.7271715,270000
5294,0,0,78.0,3,1.0,1.0,1,1,0,0,0,0,0,40.4048009,-3.7452693,179000
5295,0,0,80.0,3,1.0,4.0,1,1,0,0,0,0,0,40.3856442,-3.760740564866897,185000
5296,0,0,70.0,3,1.0,3.0,1,1,0,1,0,0,0,40.3856442,-3.760740564866897,169000
5299,0,0,60.0,2,1.0,4.0,1,0,0,1,0,0,0,40.4048009,-3.7452693,185000
5302,1,0,75.0,3,1.0,1.0,1,0,0,0,0,0,0,40.3856442,-3.760740564866897,138000
5303,0,0,61.0,3,1.0,3.0,1,0,0,0,0,0,0,40.4137225,-3.7271715,210000
5306,0,0,75.0,1,1.0,0.0,1,0,0,0,1,0,0,40.3856442,-3.760740564866897,175000
5308,1,0,67.0,2,1.0,0.0,1,0,0,0,1,0,0,40.3856442,-3.760740564866897,120000
5309,0,0,53.0,2,1.0,2.0,1,0,0,0,0,1,0,40.4048009,-3.7452693,129000
5311,0,0,80.0,2,2.0,1.0,1,1,1,0,1,0,0,40.4137225,-3.7271715,240000
5312,1,0,67.0,3,1.0,2.0,1,0,1,0,0,0,0,40.3814589,-3.7803772000000007,135000
5313,0,0,54.0,2,1.0,2.0,1,0,0,0,1,0,0,40.4048009,-3.7452693,129000
5314,0,0,75.0,3,1.0,1.0,1,0,0,1,0,0,0,40.4137225,-3.7271715,172000
5320,0,0,104.0,3,3.0,1.0,1,1,0,0,0,0,0,40.4137225,-3.7271715,350000
