,neighborhood_id,house_type_id,is_renewal_needed,is_new_development,sq_mt_built,n_rooms,n_bathrooms,floor,is_exterior,has_lift,has_parking,has_storage_room,has_terrace,has_balcony,has_pool,buy_price,buy_price_by_area,latitude,longitude
4968,"Aluche, Latina(Madrid)",HouseType 1: Pisos,False,False,112.0,4,2.0,1,True,True,False,True,True,True,False,259000,2312,40.3856442,-3.7607405648668966
4969,"Los Cármenes, Latina(Madrid)",HouseType 1: Pisos,False,True,72.0,2,1.0,1,True,True,False,False,True,False,False,230000,3194,40.406944,-3.726389
4970,"Los Cármenes, Latina(Madrid)",HouseType 1: Pisos,False,True,47.0,1,1.0,1,True,True,False,False,True,False,False,157000,3340,40.406944,-3.726389
4971,"Los Cármenes, Latina(Madrid)",HouseType 1: Pisos,False,True,74.0,2,1.0,1,True,True,False,False,True,False,False,233000,3149,40.406944,-3.726389
4972,"Los Cármenes, Latina(Madrid)",HouseType 1: Pisos,False,True,73.0,2,1.0,Bajo,True,True,False,False,True,False,False,243000,3329,40.406944,-3.726389
4973,"Puerta del Ángel, Latina(Madrid)",HouseType 1: Pisos,False,False,50.0,2,1.0,2,True,True,False,False,False,False,False,157000,3140,40.4137225,-3.7271715
4974,"Campamento, Latina(Madrid)",HouseType 1: Pisos,True,False,53.0,2,1.0,4,True,False,False,False,False,False,False,118900,2243,40.3946832,-3.7682788
4975,"Los Cármenes, Latina(Madrid)",HouseType 4: Dúplex,False,False,80.0,3,1.0,4,False,True,False,True,True,False,False,135000,1688,40.406944,-3.726389
4976,"Puerta del Ángel, Latina(Madrid)",HouseType 1: Pisos,False,False,65.0,2,1.0,Bajo,True,True,False,True,False,False,False,138000,2123,40.4137225,-3.7271715
4977,"Puerta del Ángel, Latina(Madrid)",HouseType 1: Pisos,True,False,74.0,3,1.0,Bajo,True,False,False,False,False,False,False,120000,1622,40.4137225,-3.7271715
4978,"Aluche, Latina(Madrid)",HouseType 1: Pisos,False,False,75.0,2,1.0,5,True,False,False,False,True,False,False,108000,1440,40.3856442,-3.7607405648668966
4979,"Lucero, Latina(Madrid)",HouseType 1: Pisos,True,False,48.0,2,1.0,3,True,False,False,False,False,False,False,101890,2123,40.4048009,-3.7452693
4980,"Puerta del Ángel, Latina(Madrid)",HouseType 1: Pisos,False,False,90.0,3,1.0,1,True,False,False,True,True,False,False,260000,2889,40.4137225,-3.7271715
4981,"Puerta del Ángel, Latina(Madrid)",HouseType 1: Pisos,False,False,88.0,3,2.0,3,True,True,False,False,True,True,False,181000,2057,40.4137225,-3.7271715
4982,"Puerta del Ángel, Latina(Madrid)",HouseType 1: Pisos,False,False,164.0,4,2.0,1,True,True,True,True,False,False,False,550000,3354,40.4137225,-3.7271715
4983,"Aluche, Latina(Madrid)",HouseType 1: Pisos,False,False,73.0,2,1.0,2,True,False,False,True,True,False,False,139000,1904,40.3856442,-3.7607405648668966
4984,"Lucero, Latina(Madrid)",HouseType 1: Pisos,True,False,63.0,3,1.0,3,True,False,False,False,True,False,False,133000,2111,40.4048009,-3.7452693
4985,"Puerta del Ángel, Latina(Madrid)",HouseType 1: Pisos,False,False,95.0,3,2.0,1,True,True,False,False,False,False,False,250000,2632,40.4137225,-3.7271715
4986,"Aluche, Latina(Madrid)",HouseType 1: Pisos,False,False,55.0,2,1.0,4,True,False,False,False,False,False,False,140000,2545,40.3856442,-3.7607405648668966
4987,"Lucero, Latina(Madrid)",HouseType 1: Pisos,False,False,85.0,2,2.0,4,True,True,True,False,False,False,False,285000,3353,40.4048009,-3.7452693
4988,"Aluche, Latina(Madrid)",HouseType 1: Pisos,False,False,57.0,3,1.0,1,True,True,False,False,True,False,False,167000,2930,40.3856442,-3.7607405648668966
4989,"Puerta del Ángel, Latina(Madrid)",HouseType 4: Dúplex,False,False,67.0,0,1.0,1,True,False,False,True,True,True,False,235000,3507,40.4137225,-3.7271715
4990,"Los Cármenes, Latina(Madrid)",HouseType 1: Pisos,False,False,63.0,1,1.0,2,True,True,False,False,False,False,False,101000,1603,40.406944,-3.726389
4991,"Águilas, Latina(Madrid)",HouseType 1: Pisos,False,False,73.0,3,1.0,7,True,True,False,False,False,False,False,179000,2452,40.3814589,-3.7803772
4992,"Campamento, Latina(Madrid)",HouseType 1: Pisos,False,False,65.0,3,1.0,1,True,False,False,False,True,False,False,126000,1938,40.3946832,-3.7682788
4993,"Puerta del Ángel, Latina(Madrid)",HouseType 1: Pisos,False,False,75.0,3,1.0,1,True,True,False,False,True,False,False,180000,2400,40.4137225,-3.7271715
4994,"Cuatro Vientos, Latina(Madrid)",HouseType 1: Pisos,False,False,68.0,1,2.0,Bajo,True,True,False,False,True,False,False,169000,2485,40.3779352,-3.7919471
4995,"Aluche, Latina(Madrid)",HouseType 1: Pisos,False,False,140.0,4,2.0,1,True,True,True,True,True,False,True,420000,3000,40.3856442,-3.7607405648668966
4996,"Aluche, Latina(Madrid)",HouseType 1: Pisos,True,False,69.0,3,1.0,3,True,False,False,False,True,False,False,76000,1101,40.3856442,-3.7607405648668966
4997,"Campamento, Latina(Madrid)",HouseType 1: Pisos,True,False,60.0,2,1.0,3,True,False,False,False,False,False,False,105000,1750,40.3946832,-3.7682788
4998,"Puerta del Ángel, Latina(Madrid)",HouseType 1: Pisos,True,False,74.0,3,1.0,Bajo,True,True,False,False,False,False,False,133665,1806,40.4137225,-3.7271715
4999,"Puerta del Ángel, Latina(Madrid)",HouseType 1: Pisos,False,False,74.0,3,1.0,Bajo,True,True,False,False,False,False,False,133665,1806,40.4137225,-3.7271715
5000,"Águilas, Latina(Madrid)",HouseType 1: Pisos,False,False,60.0,2,1.0,3,True,False,False,False,True,False,False,128000,2133,40.3814589,-3.7803772
5001,"Puerta del Ángel, Latina(Madrid)",HouseType 1: Pisos,False,False,40.0,2,1.0,2,False,False,False,False,False,False,False,128000,3200,40.4137225,-3.7271715
5002,"Aluche, Latina(Madrid)",HouseType 1: Pisos,False,False,88.0,3,2.0,1,True,True,False,False,False,False,False,198000,2250,40.3856442,-3.7607405648668966
5003,"Aluche, Latina(Madrid)",HouseType 1: Pisos,False,False,65.0,3,1.0,6,True,True,False,False,False,False,False,159000,2446,40.3856442,-3.7607405648668966
5004,"Águilas, Latina(Madrid)",HouseType 1: Pisos,False,False,92.0,3,1.0,1,True,True,False,False,True,False,False,234900,2553,40.3814589,-3.7803772
5005,"Puerta del Ángel, Latina(Madrid)",HouseType 1: Pisos,False,False,40.0,1,1.0,1,False,False,False,False,False,False,False,155000,3875,40.4137225,-3.7271715
5006,"Águilas, Latina(Madrid)",HouseType 1: Pisos,False,False,60.0,2,1.0,4,True,False,False,False,True,False,False,102000,1700,40.3814589,-3.7803772
5007,"Puerta del Ángel, Latina(Madrid)",HouseType 1: Pisos,False,False,83.0,3,1.0,1,True,False,False,False,True,False,False,180000,2169,40.4137225,-3.7271715
5008,"Águilas, Latina(Madrid)",HouseType 1: Pisos,True,False,56.0,2,1.0,2,True,True,False,False,False,False,False,95000,1696,40.3814589,-3.7803772
5009,"Los Cármenes, Latina(Madrid)",HouseType 1: Pisos,False,False,72.0,2,1.0,1,True,True,True,False,True,False,False,230000,3194,40.406944,-3.726389
5010,"Los Cármenes, Latina(Madrid)",HouseType 1: Pisos,False,False,50.0,1,1.0,1,True,True,True,False,True,False,False,157000,3140,40.406944,-3.726389
5011,"Águilas, Latina(Madrid)",HouseType 1: Pisos,False,False,50.0,2,1.0,Bajo,True,False,False,False,False,False,False,128000,2560,40.3814589,-3.7803772
5012,"Puerta del Ángel, Latina(Madrid)",HouseType 1: Pisos,False,False,96.0,2,2.0,1,True,True,True,True,False,False,False,220000,2292,40.4137225,-3.7271715
5013,"Campamento, Latina(Madrid)",HouseType 1: Pisos,True,False,80.0,3,1.0,4,True,False,False,False,True,False,False,139000,1738,40.3946832,-3.7682788
5014,"Lucero, Latina(Madrid)",HouseType 1: Pisos,False,False,74.0,3,1.0,Bajo,True,False,False,False,True,False,False,134000,1811,40.4048009,-3.7452693
