,house_type_id,is_renewal_needed,is_new_development,m2,n_rooms,n_bathrooms,floor,is_exterior,has_lift,has_parking,has_storage_room,has_terrace,has_balcony,has_pool,latitude,longitude,buy_price
10208,0,0,0,77.0,2,1.0,2.0,1,1,0,1,1,0,0,40.43820570000001,-3.6495784,225000
10210,0,0,0,67.0,1,1.0,1.0,1,1,0,0,0,0,0,40.4220402,-3.6517069,199000
10212,0,0,0,90.0,2,2.0,5.0,1,1,1,1,0,0,1,40.4350329,-3.644171,425000
10213,0,0,0,150.0,2,2.0,0.0,1,1,1,1,0,0,0,40.4220402,-3.6517069,575000
10214,0,0,0,93.0,3,2.0,1.0,1,1,0,0,1,0,0,40.45824765,-3.6597056668499386,430000
10215,0,0,0,78.0,3,2.0,4.0,0,0,0,0,0,0,0,40.4350329,-3.644171,240000
10216,0,0,0,50.0,2,1.0,0.0,1,0,0,0,0,0,0,40.4350329,-3.644171,130000
10217,0,1,0,123.0,4,1.0,2.0,1,1,0,0,1,0,0,40.43820570000001,-3.6495784,305000
10219,0,1,0,109.0,4,2.0,4.0,1,1,0,0,1,0,0,40.4350329,-3.644171,269000
10220,0,0,0,60.0,3,1.0,5.0,1,1,0,0,1,0,0,40.4220402,-3.6517069,185000
10221,0,0,0,152.0,4,3.0,8.0,1,1,1,1,0,0,1,40.47538345,-3.669831997592169,650000
10223,0,0,0,80.0,2,2.0,3.0,1,1,1,0,1,0,0,40.4350329,-3.644171,265000
10224,2,0,0,65.0,1,1.0,3.0,1,1,1,1,1,0,0,40.43820570000001,-3.6495784,300000
10225,0,0,0,130.0,4,2.0,3.0,1,1,1,0,1,0,0,40.4426834,-3.6534541,565000
10226,1,0,0,110.0,0,2.0,4.0,1,1,1,0,0,1,1,40.43820570000001,-3.6495784,400000
10227,0,1,0,82.0,3,1.0,2.0,0,0,0,0,0,0,0,40.4350329,-3.644171,215000
10228,0,0,0,70.0,2,1.0,4.0,1,1,0,0,1,0,0,40.43820570000001,-3.6495784,199000
10230,0,0,0,80.0,2,2.0,3.0,1,1,0,0,0,1,0,40.45087879999999,-3.655924108363301,360000
10235,0,0,0,70.0,2,1.0,3.0,1,1,0,1,1,0,0,40.45824765,-3.6597056668499386,290000
10237,0,0,0,70.0,2,1.0,3.0,1,1,0,0,0,0,0,40.43820570000001,-3.6495784,225000
10238,0,0,0,65.0,2,2.0,3.0,1,0,0,0,1,0,0,40.4350329,-3.644171,190000
10240,0,0,0,40.0,1,1.0,0.0,1,0,0,0,0,0,0,40.4220402,-3.6517069,175000
10242,0,0,0,60.0,2,1.0,4.0,1,0,0,0,1,0,0,40.4220402,-3.6517069,195000
10243,0,0,0,54.0,1,1.0,4.0,1,1,1,1,0,0,1,40.47538345,-3.669831997592169,275000
10244,0,0,0,65.0,2,1.0,2.0,1,1,0,0,0,0,0,40.4426834,-3.6534541,250000
10245,0,0,0,163.0,4,3.0,8.0,1,1,1,1,1,0,1,40.47538345,-3.669831997592169,860000
10247,0,1,0,57.0,2,1.0,1.0,1,1,0,0,1,0,0,40.4426834,-3.6534541,160000
10248,0,0,0,32.0,1,1.0,0.0,1,1,0,0,0,0,0,40.43820570000001,-3.6495784,125000
10249,0,0,0,60.0,1,1.0,2.0,1,1,0,0,0,0,0,40.4350329,-3.644171,153000
10250,0,1,0,130.0,3,2.0,2.0,1,1,1,1,1,0,1,40.47538345,-3.669831997592169,520000
10251,0,0,0,87.0,3,1.0,0.0,1,1,0,0,0,0,0,40.43737280000001,-3.6436099185322814,220000
10252,2,0,0,92.0,2,1.0,3.0,1,1,0,1,1,1,0,40.43737280000001,-3.6436099185322814,360000
10253,0,0,0,92.0,2,1.0,2.0,1,1,0,1,1,0,0,40.43737280000001,-3.6436099185322814,310000
10254,0,0,0,92.0,3,1.0,1.0,1,1,0,1,1,0,0,40.43737280000001,-3.6436099185322814,300000
10256,0,0,0,63.0,3,1.0,2.0,1,0,0,0,0,1,0,40.4220402,-3.6517069,170000
10257,0,0,0,60.0,3,1.0,4.0,1,1,0,0,0,0,0,40.4220402,-3.6517069,139900
10258,0,1,0,58.0,3,1.0,1.0,1,0,0,0,1,0,0,40.4220402,-3.6517069,126000
10259,2,0,0,55.0,1,1.0,2.0,1,0,0,0,0,0,0,40.4220402,-3.6517069,215000
10260,0,0,0,56.0,2,1.0,2.0,1,1,1,0,0,0,1,40.4426834,-3.6534541,295000
10264,0,0,0,45.0,1,1.0,4.0,1,0,0,0,0,0,0,40.4220402,-3.6517069,135000
10265,0,1,0,54.0,2,1.0,1.0,1,1,0,0,0,0,0,40.4426834,-3.6534541,165000
10266,0,0,0,56.0,1,1.0,0.0,1,1,1,1,0,0,0,40.4220402,-3.6517069,155000
10267,0,0,0,52.0,1,1.0,2.0,1,1,1,1,0,0,0,40.4220402,-3.6517069,173000
10268,0,0,0,95.0,2,2.0,3.0,1,0,0,0,0,0,0,40.43820570000001,-3.6495784,390000
10270,0,0,0,51.0,2,1.0,0.0,1,0,0,0,0,0,0,40.4350329,-3.644171,105000
10271,0,1,0,60.0,2,1.0,3.0,1,0,0,0,0,0,0,40.43737280000001,-3.6436099185322814,185000
10272,0,0,0,100.0,3,2.0,3.0,1,1,1,1,0,0,0,40.43820570000001,-3.6495784,425000
10273,0,0,0,80.0,3,1.0,2.0,1,1,0,0,1,0,0,40.43737280000001,-3.6436099185322814,255000
10274,0,0,0,102.0,3,2.0,1.0,1,1,1,0,1,0,0,40.4426834,-3.6534541,285000
10275,0,0,0,75.0,2,1.0,3.0,1,1,1,0,0,0,0,40.4426834,-3.6534541,230000
10277,0,1,0,50.0,2,1.0,2.0,1,1,0,0,0,0,0,40.4426834,-3.6534541,165000
10278,0,0,0,90.0,3,2.0,4.0,1,1,1,0,0,0,0,40.4350329,-3.644171,330000
10280,0,0,0,47.0,2,1.0,2.0,1,0,0,0,0,0,0,40.43737280000001,-3.6436099185322814,140000
10281,0,0,0,60.0,2,1.0,4.0,1,1,0,0,0,1,0,40.4350329,-3.644171,160000
10282,0,1,0,60.0,3,1.0,1.0,1,1,0,0,0,0,0,40.43737280000001,-3.6436099185322814,180000
10283,0,0,0,42.0,1,1.0,1.0,1,1,1,1,1,0,1,40.46380445,-3.664578847937272,285000
10284,0,0,0,108.0,3,2.0,4.0,1,1,1,1,0,0,1,40.45087879999999,-3.655924108363301,475000
10285,0,0,0,58.0,3,1.0,0.0,1,1,0,0,0,0,0,40.43820570000001,-3.6495784,155000
